objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Agricola,31260,7,5,0,0,0,0,0,0,1,0,0,3,,,,,,8073724,7.87475,7.97917,3.6368,27,69910,thing,Agricola,1,5,150,150,30,2007,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Agricola: All Creatures Big and Small,119890,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,26415424,7.19785,7.41803,2.3474,223,16620,thing,Agricola: All Creatures Big and Small,2,2,30,30,30,2012,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Alcatraz: The Scapegoat,96613,7.5,4,0,0,0,0,0,0,0,0,0,3,,,,,,13925631,5.92826,6.36194,2.3494,2580,1784,thing,Alcatraz: The Scapegoat,3,4,60,60,45,2011,"3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Alchemist,27385,6.5,3,0,0,0,0,0,0,1,0,0,3,,,,,,8219268,5.86197,6.23357,2.2348,2950,1526,thing,Alchemist,2,5,50,50,50,2007,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Alchemists,161970,8.5,3,0,1,0,0,0,0,0,0,0,2,submitted as wishlist item to family.,Brain burner.  Excellent mix of deductive reasoning and worker placement.  Innovative integration of the app works flawlessly and really adds to the game.  ,,,,24919584,7.4777,7.6936,3.8677,93,20072,thing,Alchemists,2,4,120,120,120,2014,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Alhambra,6249,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,8216196,6.92267,7.02571,2.1118,432,31093,thing,Alhambra,2,6,60,60,45,2003,"2,3,4,5",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Alibi,1417,0,,0,0,0,0,0,0,1,0,0,1,,Box shows some shelf wear but components are like new.  Cards are still in shrink wrap.,,,,8560489,5.46407,5.43752,1.82,16808,1581,thing,Alibi,3,10,45,45,30,1993,"3,4,5,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Alien Frontiers,48726,7.25,2,0,0,0,0,0,0,0,0,0,3,,,,,,16689997,7.25396,7.44269,2.5742,192,13835,thing,Alien Frontiers,2,4,90,90,90,2010,"2,3,4","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Amazonas,15157,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,16552148,5.88596,6.34388,2.1429,2813,1779,thing,Amazonas,3,4,50,50,50,2005,"3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Amerigo,137408,7.75,4,0,1,0,0,0,0,0,0,0,2,,,,,,19159174,7.06134,7.47827,3.0065,307,6671,thing,Amerigo,2,4,90,90,90,2013,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Among the Stars,110277,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,18584370,6.84213,7.1274,2.2337,514,8713,thing,Among the Stars,2,4,30,30,30,2012,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Among the Stars: Revival,170318,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,33446569,5.91237,7.22624,2.2857,2672,1926,thing,Among the Stars: Revival,2,6,30,30,30,2015,"2,3,4",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Amun-Re,5404,8.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,8073795,7.06292,7.32941,3.067,305,8995,thing,Amun-Re,3,5,90,90,90,2003,"4,5",5,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Android: Infiltration,118063,7,2,0,0,0,0,0,0,0,0,0,4,,,,,,14950908,6.25356,6.56762,2.0987,1447,4750,thing,Android: Infiltration,2,6,45,45,30,2012,"3,4,5,6",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Animal Upon Animal,17329,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,18932496,6.58876,6.83808,1.0475,820,9612,thing,Animal Upon Animal,2,4,15,15,15,2005,"2,3,4",4,3+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Animals on Board,191572,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,64246948,6.14541,6.6421,1.4444,1744,2421,thing,Animals on Board,2,4,30,30,15,2016,"3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Apples to Apples,74,4.5,,0,0,0,0,0,0,0,0,0,3,,,,,,8105483,5.73775,5.84617,1.1636,3985,23498,thing,Apples to Apples,4,10,30,30,30,1999,"4,5,6,7,8,9,10","6,7,8",10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Aquaretto,34194,7.25,2,0,0,0,0,0,0,0,0,0,3,,,,,,8490752,6.44938,7.00028,2.1117,1034,2964,thing,Aquaretto,2,5,45,45,45,2008,"2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
AquaSphere,159508,7,1,0,1,0,0,0,0,0,0,0,3,submitted as wishlist item to family.,,,,,26492224,6.94682,7.29556,3.6855,409,9167,thing,AquaSphere,2,4,100,100,100,2014,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Arboretum,140934,7.5,2,0,1,0,0,0,0,0,0,0,4,Small box filler card game.  ,,,,,50093415,7.14591,7.41495,2.155,252,15337,thing,Arboretum,2,4,30,30,30,2015,"2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Arcana,45134,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,20187772,5.84864,6.14522,2.0559,3038,3415,thing,Arcana,2,4,60,60,60,2009,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Archaeology: The Card Game,31105,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,25735269,6.30704,6.6783,1.3419,1322,3662,thing,Archaeology: The Card Game,2,4,20,20,20,2007,"2,3,4",3,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Archer: The Danger Zone! Board Game,137336,3,1,0,0,0,0,0,0,0,0,0,3,,,,,,23978336,5.4006,4.80767,1.4615,17560,489,thing,Archer: The Danger Zone! Board Game,2,8,40,40,40,2014,"3,4,5,6,7,8","5,6",16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Archipelago,105551,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,18763898,7.03621,7.37508,3.7384,325,8915,thing,Archipelago,2,5,240,240,30,2012,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Architects of the West Kingdom,236457,6.5,1,0,0,0,0,0,0,0,0,0,4,,,,,,56386164,7.50853,7.87,2.763,85,12358,thing,Architects of the West Kingdom,1,5,80,80,60,2018,"1,2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Arctic Scavengers,41933,7,3,0,0,0,0,0,0,0,0,0,3,,,,,,8817420,6.40537,6.86854,2.2667,1118,3274,thing,Arctic Scavengers,2,5,60,60,45,2009,"3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Argent: The Consortium,144797,5.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,57786995,6.94594,7.70693,3.8165,413,3884,thing,Argent: The Consortium,2,5,150,150,60,2015,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Aristoocrazy,131281,0,,0,0,0,0,0,0,0,0,0,4,,,,,,17063860,0,4.81818,4,0,41,thing,Aristoocrazy,2,4,75,75,75,2012,"2,3,4",,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Arkadia,25643,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,16552178,6.56254,6.92339,2.5734,857,4178,thing,Arkadia,2,4,60,60,45,2006,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Arkham Horror,15987,6,17,0,0,0,0,0,0,1,0,0,3,,,,,,8320431,7.10189,7.28293,3.5649,279,45662,thing,Arkham Horror,1,8,360,360,120,2005,"1,2,3,4,5,6",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Arkham Horror: Dunwich Horror Expansion,21059,6,5,0,0,0,0,0,0,1,0,0,3,,,,,,8717487,7.3369,7.81123,3.4792,0,14337,thing,Arkham Horror: Dunwich Horror Expansion,1,8,240,240,240,2006,"1,2,3,4,5,6",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Arkham Horror: Innsmouth Horror Expansion,40776,0,,0,0,0,0,0,0,0,0,0,4,,,,,,8717490,7.14898,7.90689,3.567,0,8999,thing,Arkham Horror: Innsmouth Horror Expansion,1,8,180,180,180,2009,"3,4,5,6",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Arkham Horror: Kingsport Horror Expansion,31536,0,,0,0,0,0,0,0,0,0,0,4,,,,,,8717488,6.79175,7.45369,3.3681,0,8364,thing,Arkham Horror: Kingsport Horror Expansion,1,8,120,120,120,2008,"2,3,4,5,6",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Armymals,161966,0,,0,0,0,0,0,0,0,0,0,4,Research more. essentially turns King of Tokyo into a 'capture the flag'-esque wargame,,,,,30752042,5.58014,6.58557,2.25,7375,223,thing,Armymals,2,8,45,45,45,2014,"2,4",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Ascending Empires,37919,0,,0,0,0,0,0,0,0,0,0,4,,,,,,11802104,6.50546,7.18432,2.3421,933,1811,thing,Ascending Empires,2,4,75,75,75,2011,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Ascension: Deckbuilding Game,69789,6.5,11,0,0,0,0,0,0,1,0,0,3,,,,,,10770574,6.80378,7.03085,2.1501,564,11715,thing,Ascension: Deckbuilding Game,1,4,30,30,30,2010,"2,3,4",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Asteroyds,65200,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,16552160,5.8971,6.37604,2.1818,2750,1701,thing,Asteroyds,2,6,30,30,30,2010,"1,2,3,4,5,6","2,3,4,5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
At the Gates of Loyang,39683,7,1,0,1,0,0,0,0,0,0,0,3,,,,,,23198879,7.1265,7.38329,3.1401,265,11021,thing,At the Gates of Loyang,1,4,120,120,60,2009,"1,2,3,4",2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Automania,176544,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,41780569,6.60744,7.37,2.716,800,2451,thing,Automania,2,4,90,90,60,2015,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Automobile,39351,8.5,3,0,1,0,0,0,0,0,0,0,1,,,,,,8710229,6.97301,7.34295,3.5242,384,5001,thing,Automobile,3,5,120,120,120,2009,"3,4,5",5,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Awkward Guests,188866,8,1,0,0,0,0,0,0,0,0,0,3,,,,,,64246949,6.70362,7.80152,2.4528,677,3452,thing,Awkward Guests,2,8,75,75,45,2016,"2,3,4,5,6,7,8","4,5",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Azul,230802,7,1,0,0,0,0,0,0,0,0,0,2,,,,,,50322225,7.75292,7.8892,1.7925,40,49274,thing,Azul,2,4,45,45,30,2017,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bananagrams,27225,5.5,3,0,0,0,0,0,0,0,0,0,3,,,,,,30156389,6.17575,6.35603,1.3506,1659,13409,thing,Bananagrams,1,8,15,15,15,2006,"2,3,4,5,6","3,4,5",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
BANG!,3955,6,,0,1,0,0,0,0,0,0,0,3,,,,,,8073742,6.38297,6.52214,1.6382,1162,28347,thing,BANG!,4,7,40,40,20,2002,"5,6,7",7,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Battle Line,760,6,18,0,1,0,0,0,0,0,0,0,3,,,,,,12354215,7.2354,7.41704,1.9084,202,17788,thing,Battle Line,2,2,30,30,30,2000,2,2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Battle of the Sexes,3510,2,,0,0,0,0,0,0,0,0,0,3,,,,,,8105511,4.62711,3.47821,1.0845,17847,1845,thing,Battle of the Sexes,2,8,45,45,45,1997,"4,6,8",,10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
BattleCON: Devastation of Indines,123123,7,6,0,1,0,0,0,0,0,0,0,3,,,,,,24932022,7.11351,7.98191,3.0753,273,4399,thing,BattleCON: Devastation of Indines,1,5,45,45,45,2013,"1,2,3,4,5",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
BattleCON: War of Indines,89409,0,,0,0,0,0,0,0,0,0,0,4,,,,,,24265192,6.7246,7.77731,2.7349,651,3200,thing,BattleCON: War of Indines,2,2,30,30,30,2010,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
BattleLore,25417,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,8073753,7.07302,7.37009,2.7646,293,10581,thing,BattleLore,2,2,60,60,60,2006,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Battlestar Galactica: The Board Game,37111,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,8517620,7.58543,7.74027,3.2361,66,33533,thing,Battlestar Galactica: The Board Game,3,6,180,180,120,2008,"4,5,6",5,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Beat the Buzzard,175,5,1,0,1,0,0,0,0,0,0,0,4,,,,,,21219636,6.04295,6.46789,1.1832,2090,2729,thing,Beat the Buzzard,2,5,20,20,20,1988,"3,4,5",5,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Belfort,50750,5.5,1,0,0,0,0,0,0,0,0,0,3,,If I'm in the mood for an area control game there are dozens others that are better than this. Didn't do much to excite me. ,,,,17547711,6.92068,7.26709,3.0515,436,6422,thing,Belfort,2,5,120,120,120,2011,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Beyond Baker Street,168681,7.5,16,0,0,0,0,0,0,0,0,0,3,,,,,,37560283,6.31206,6.9526,2.2333,1308,2928,thing,Beyond Baker Street,2,4,20,20,20,2016,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Beyond Balderdash,1544,5,,0,0,0,0,0,0,0,0,0,3,,,,,,8105495,6.35506,6.80844,1.475,1217,4179,thing,Beyond Balderdash,2,6,45,45,45,1993,"4,5,6",6,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Biblios,34219,7,8,0,1,0,0,0,0,0,0,0,1,,,,,,15507055,7.03648,7.20354,1.6794,324,17012,thing,Biblios,2,4,30,30,30,2007,"2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bisikle,55165,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,11539650,5.80847,6.61355,1.6364,3320,651,thing,Bisikle,1,4,30,30,30,2009,"1,2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Black Gold,93724,7,1,0,1,1,0,0,0,0,0,0,3,,,,,,13094483,6.09434,6.87069,2.5882,1892,2187,thing,Black Gold,2,5,120,120,120,2011,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Blokus,2453,5,2,0,0,0,0,0,0,0,0,0,3,,,,,,8073806,6.78206,6.90176,1.7802,591,26727,thing,Blokus,2,4,20,20,20,2000,"2,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Blood Bowl: Team Manager – The Card Game,90137,5,2,0,0,0,0,0,0,0,0,0,4,,Played with wrong rules. Rating could change if played correctly. ,,,,13368848,7.12173,7.37808,2.3288,267,12722,thing,Blood Bowl: Team Manager – The Card Game,2,4,90,90,90,2011,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Blood Rage,170216,8,2,0,0,0,0,0,0,0,0,0,3,,"Enjoy the combination of 'action points' (i.e.,rage) along with the card drafting mechanism that is similar to 7 Wonders.  ",,,,33885583,7.83312,8.01483,2.8782,30,32959,thing,Blood Rage,2,4,90,90,60,2015,"3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
The Bloody Inn,180593,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,40833081,6.64102,6.96548,2.3731,741,7193,thing,The Bloody Inn,1,4,60,60,30,2015,"1,2,3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Blue Moon,9446,4.5,6,0,0,0,0,0,0,0,0,0,3,,,,,,8352260,6.45284,6.70947,2.1721,1028,6857,thing,Blue Moon,2,2,30,30,30,2004,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
La Boca,136280,7,5,0,1,0,0,0,0,0,0,0,4,,Unique rotating teams communication/building game. Plays fast.  Little downtime when you aren't building and you are engaged checking for errors.,,,,26763654,6.36492,7.00238,1.3765,1196,2000,thing,La Boca,3,6,40,40,40,2013,"3,4,5,6",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,KOSMOS,German,2013,German edition
Bohnanza,11,6.5,18,0,1,0,0,0,0,0,0,0,3,Have requested for birthday present.  Hope to own soon.,,,,,8115897,6.9429,7.0406,1.6742,415,50289,thing,Bohnanza,2,7,45,45,45,1997,"3,4,5,6,7",5,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Bora Bora,127060,8,1,0,0,0,0,0,0,0,0,0,3,,,,,,18643257,7.28032,7.56695,3.7388,181,11271,thing,Bora Bora,2,4,120,120,60,2013,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Brass: Lancashire,28720,8,5,0,1,0,0,0,0,0,0,0,1,Requested as birthday present.  Hope to have soon!,"Complex rules can be tough to remember, especially if not played frequently, also can be a challenge to teach.  Extremely deep strategy with enjoyable mechanics and nice presentation.  Lacks a catch up mechanism.",,,,8073788,7.92667,8.13711,3.8684,19,20801,thing,Brass: Lancashire,2,4,120,120,60,2007,"2,3,4",4,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Brew Crafters,139898,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,56364093,6.81066,7.51804,3.5769,554,4157,thing,Brew Crafters,2,5,90,90,90,2013,"2,3,4,5","3,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Brick Party,181161,7,7,0,1,0,0,0,0,0,0,0,4,Sounds funny.  Lego style bricks to build something with a handicapped restriction.,,,,,30729225,5.77857,6.68158,1.4286,3588,1014,thing,Brick Party,2,9,30,30,15,2016,"2,4,6,8","4,6,8",5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Renegade Game Studios,English,2016,English-only edition
Broom Service,172308,8,3,0,1,0,0,0,0,0,0,0,3,Reimplement of witches brew,,,,,28548395,6.91556,7.2104,2.4,442,10912,thing,Broom Service,2,5,75,75,30,2015,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Bruges,136888,7.75,6,0,1,0,0,0,0,0,0,0,3,,,,,,18269290,7.1919,7.44877,2.7536,227,10301,thing,Bruges,2,4,60,60,60,2013,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
